net,length_um
_04_,47.4
net6,44.11
net1,39.8
_02_,33.02
net2,32.12
net8,31.66
_07_,30.24
net5,26.84
net16,25.78
net14,25.3
net10,24.92
_06_,22.16
net7,21.7
net9,21.54
net3,20.9
net15,19.74
net13,18.62
_00_,18.24
net12,16.42
net4,14.94
in[7],12.79
out[0],12.77
_05_,12.76
_08_,12.04
_01_,11.82
in[0],11.07
out[7],10.61
_03_,8.16
net11,6.76
out[6],6.69
in[1],6.33
in[4],6.33
in[5],6.31
in[3],5.97
out[3],5.29
out[5],5.29
_09_,4.8
in[2],4.61
in[6],4.61
out[1],3.93
out[2],3.93
out[4],3.93
